run_id,wave_group,wave_id,brake_id
0001,G1,W1,Fail-1
0002,G1,W1,Fail-1
0003,G1,W1,Fail-2
0004,G1,W1,Fail-2
0005,G1,W1,Fail-3
0006,G1,W1,Fail-3
0007,G1,W1,Fail-4
0008,G1,W1,Fail-4
0009,G1,W1,No_Fail-1
0010,G1,W1,No_Fail-1
0011,G1,W1,No_Fail-1
0012,G1,W1,No_Fail-2
0013,G1,W1,No_Fail-2
0014,G1,W1,No_Fail-2
0015,G1,W1,No_Fail-3
0016,G1,W1,No_Fail-3
0017,G1,W2,Fail-1
0018,G1,W2,Fail-1
0019,G1,W2,Fail-2
0020,G1,W2,Fail-2
0021,G1,W2,Fail-3
0022,G1,W2,Fail-3
0023,G1,W2,Fail-4
0024,G1,W2,Fail-4
0025,G1,W2,No_Fail-1
0026,G1,W2,No_Fail-1
0027,G1,W2,No_Fail-1
0028,G1,W2,No_Fail-2
0029,G1,W2,No_Fail-2
0030,G1,W2,No_Fail-2
0031,G1,W2,No_Fail-3
0032,G1,W2,No_Fail-3
0033,G1,W3,Fail-1
0034,G1,W3,Fail-1
0035,G1,W3,Fail-2
0036,G1,W3,Fail-2
0037,G1,W3,Fail-3
0038,G1,W3,Fail-3
0039,G1,W3,Fail-4
0040,G1,W3,Fail-4
0041,G1,W3,No_Fail-1
0042,G1,W3,No_Fail-1
0043,G1,W3,No_Fail-1
0044,G1,W3,No_Fail-2
0045,G1,W3,No_Fail-2
0046,G1,W3,No_Fail-2
0047,G1,W3,No_Fail-3
0048,G1,W3,No_Fail-3
0049,G2,W1,Fail-1
0050,G2,W1,Fail-1
0051,G2,W1,Fail-1
0052,G2,W1,Fail-2
0053,G2,W1,Fail-2
0054,G2,W1,Fail-2
0055,G2,W1,Fail-3
0056,G2,W1,Fail-3
0057,G2,W1,Fail-3
0058,G2,W1,Fail-4
0059,G2,W1,Fail-4
0060,G2,W1,Fail-4
0061,G2,W1,No_Fail-1
0062,G2,W1,No_Fail-1
0063,G2,W1,No_Fail-1
0064,G2,W1,No_Fail-2
0065,G2,W1,No_Fail-2
0066,G2,W1,No_Fail-2
0067,G2,W1,No_Fail-3
0068,G2,W1,No_Fail-3
0069,G2,W2,Fail-1
0070,G2,W2,Fail-1
0071,G2,W2,Fail-1
0072,G2,W2,Fail-1
0073,G2,W2,Fail-2
0074,G2,W2,Fail-2
0075,G2,W2,Fail-2
