run_id,wave_group,wave_id,brake_id
0001,G1,W1,Fail-1-0
0002,G1,W1,Fail-1-1
0003,G1,W1,Fail-1-2
0004,G1,W1,Fail-1-3
0005,G1,W1,Fail-2-0
0006,G1,W1,Fail-2-1
0007,G1,W1,Fail-2-2
0008,G1,W1,Fail-2-3
0009,G1,W1,Fail-2-4
0010,G1,W1,Fail-3-0
0011,G1,W1,Fail-3-1
0012,G1,W1,Fail-3-2
0013,G1,W1,Fail-3-3
0014,G1,W1,Fail-3-4
0015,G1,W1,Fail-4-0
0016,G1,W1,Fail-4-1
0017,G1,W1,Fail-4-2
0018,G1,W1,No_Fail-1-0
0019,G1,W1,No_Fail-1-1
0020,G1,W1,No_Fail-1-2
0021,G1,W1,No_Fail-2-0
0022,G1,W1,No_Fail-2-1
0023,G1,W1,No_Fail-2-2
0024,G1,W1,No_Fail-2-3
0025,G1,W1,No_Fail-3-0
0026,G1,W1,No_Fail-3-1
0027,G1,W1,No_Fail-3-2
0028,G1,W1,No_Fail-4-0
0029,G1,W2,Fail-1-0
0030,G1,W2,Fail-1-1
0031,G1,W2,Fail-1-2
0032,G1,W2,Fail-1-3
0033,G1,W2,Fail-2-0
0034,G1,W2,Fail-2-1
0035,G1,W2,Fail-2-2
0036,G1,W2,Fail-2-3
0037,G1,W2,Fail-2-4
0038,G1,W2,Fail-3-0
0039,G1,W2,Fail-3-1
0040,G1,W2,Fail-3-2
0041,G1,W2,Fail-3-3
0042,G1,W2,Fail-3-4
0043,G1,W2,Fail-4-0
0044,G1,W2,Fail-4-1
0045,G1,W2,Fail-4-2
0046,G1,W2,No_Fail-1-0
0047,G1,W2,No_Fail-1-1
0048,G1,W2,No_Fail-1-2
0049,G1,W2,No_Fail-2-0
0050,G1,W2,No_Fail-2-1
0051,G1,W2,No_Fail-2-2
0052,G1,W2,No_Fail-2-3
0053,G1,W2,No_Fail-3-0
0054,G1,W2,No_Fail-3-1
0055,G1,W2,No_Fail-3-2
0056,G1,W2,No_Fail-4-0
0057,G1,W3,Fail-1-0
0058,G1,W3,Fail-1-1
0059,G1,W3,Fail-1-2
0060,G1,W3,Fail-1-3
0061,G1,W3,Fail-2-0
0062,G1,W3,Fail-2-1
0063,G1,W3,Fail-2-2
0064,G1,W3,Fail-2-3
0065,G1,W3,Fail-2-4
0066,G1,W3,Fail-3-0
0067,G1,W3,Fail-3-1
0068,G1,W3,Fail-3-2
0069,G1,W3,Fail-3-3
0070,G1,W3,Fail-3-4
0071,G1,W3,Fail-4-0
0072,G1,W3,Fail-4-1
0073,G1,W3,Fail-4-2
0074,G1,W3,No_Fail-1-0
0075,G1,W3,No_Fail-1-1
0076,G1,W3,No_Fail-1-2
0077,G1,W3,No_Fail-2-0
0078,G1,W3,No_Fail-2-1
0079,G1,W3,No_Fail-2-2
0080,G1,W3,No_Fail-2-3
0081,G1,W3,No_Fail-3-0
0082,G1,W3,No_Fail-3-1
0083,G1,W3,No_Fail-3-2
0084,G1,W3,No_Fail-4-0
0085,G2,W1,Fail-1-0
0086,G2,W1,Fail-1-1
